vehicle_id,depart_time,arrival_time,duration,waiting_time,route_length,time_loss
0,0.0,68.0,68.0,0.0,863.15,7.87
22,33.0,125.0,92.0,0.0,681.2,10.71
28,42.0,128.0,86.0,0.0,719.84,8.49
40,60.0,145.0,85.0,0.0,724.48,9.53
67,101.0,202.0,101.0,0.0,680.84,14.58
96,144.0,206.0,62.0,0.0,597.48,7.3
55,83.0,245.0,162.0,26.0,1054.55,46.69
118,177.0,249.0,72.0,0.0,916.69,14.71
133,200.0,253.0,53.0,0.0,366.72,8.97
94,141.0,254.0,113.0,0.0,931.88,12.5
113,170.0,265.0,95.0,40.0,522.3,56.21
120,180.0,277.0,97.0,9.0,898.3,30.01
33,50.0,278.0,228.0,24.0,1990.72,61.03
108,162.0,279.0,117.0,12.0,1028.79,34.92
57,86.0,290.0,204.0,33.0,1917.36,62.57
154,231.0,292.0,61.0,0.0,721.6,8.88
23,35.0,294.0,259.0,160.0,674.91,180.81
77,116.0,303.0,187.0,0.0,1854.3,16.5
126,189.0,306.0,117.0,15.0,1064.98,37.68
34,51.0,308.0,257.0,0.0,2444.64,30.11
42,63.0,336.0,273.0,23.0,2856.89,55.22
128,192.0,338.0,146.0,37.0,1046.35,58.59
97,146.0,365.0,219.0,72.0,1763.16,100.27
69,104.0,366.0,262.0,0.0,2677.61,25.24
131,197.0,374.0,177.0,0.0,1890.75,19.44
176,264.0,377.0,113.0,0.0,753.03,20.91
210,315.0,377.0,62.0,0.0,526.73,12.48
10,15.0,381.0,366.0,147.0,2410.81,195.36
139,211.0,381.0,170.0,0.0,1670.3,22.32
138,207.0,386.0,179.0,0.0,1697.73,16.38
119,179.0,390.0,211.0,53.0,1428.03,82.41
116,174.0,392.0,218.0,0.0,1660.12,34.42
149,224.0,392.0,168.0,0.0,1956.38,18.36
20,30.0,396.0,366.0,0.0,2921.37,42.12
50,75.0,400.0,325.0,215.0,1040.95,242.0
79,119.0,413.0,294.0,0.0,2003.83,39.27
159,239.0,426.0,187.0,2.0,1842.83,28.18
66,99.0,429.0,330.0,189.0,1432.79,219.76
91,137.0,434.0,297.0,138.0,1448.07,166.01
170,255.0,435.0,180.0,0.0,1876.8,21.59
56,84.0,439.0,355.0,1.0,3600.76,37.42
181,272.0,442.0,170.0,65.0,1153.75,90.85
186,279.0,446.0,167.0,0.0,1297.93,25.05
115,173.0,455.0,282.0,122.0,1468.53,154.25
129,194.0,461.0,267.0,0.0,2380.4,33.2
47,71.0,474.0,403.0,97.0,2473.34,149.99
226,339.0,474.0,135.0,42.0,1064.75,63.82
3,5.0,478.0,473.0,261.0,2484.02,321.48
37,56.0,484.0,428.0,78.0,3492.56,166.66
88,132.0,496.0,364.0,198.0,1215.61,254.33
61,92.0,500.0,408.0,117.0,3020.11,170.65
14,21.0,507.0,486.0,315.0,1772.84,359.67
167,251.0,510.0,259.0,130.0,1431.87,164.65
301,452.0,511.0,59.0,2.0,440.15,13.07
58,87.0,515.0,428.0,262.0,1799.25,281.88
293,440.0,516.0,76.0,0.0,901.94,12.49
18,27.0,518.0,491.0,350.0,1378.07,394.04
232,348.0,521.0,173.0,0.0,1452.23,19.54
7,11.0,522.0,511.0,0.0,4515.32,48.31
85,128.0,526.0,398.0,266.0,1634.25,291.91
72,108.0,529.0,421.0,233.0,1838.79,278.08
106,159.0,533.0,374.0,189.0,2283.86,231.83
111,167.0,534.0,367.0,132.0,2170.42,163.75
48,72.0,539.0,467.0,301.0,1809.09,330.72
168,252.0,544.0,292.0,114.0,1550.99,152.76
163,245.0,546.0,301.0,81.0,2420.79,138.91
30,45.0,547.0,502.0,321.0,1889.17,378.67
114,171.0,562.0,391.0,214.0,2090.0,263.61
65,98.0,570.0,472.0,211.0,2627.63,251.92
2,3.0,571.0,568.0,338.0,2705.54,385.59
99,149.0,573.0,424.0,100.0,3597.49,163.16
135,203.0,575.0,372.0,0.0,3972.09,38.1
243,365.0,576.0,211.0,98.0,1131.73,120.54
363,545.0,584.0,39.0,0.0,349.18,5.93
290,435.0,585.0,150.0,0.0,1490.88,12.94
332,499.0,586.0,87.0,14.0,652.06,33.82
123,185.0,588.0,403.0,116.0,3473.32,158.57
219,329.0,588.0,259.0,3.0,2166.93,33.14
261,392.0,590.0,198.0,3.0,1811.68,32.56
151,227.0,602.0,375.0,180.0,1818.27,220.37
296,444.0,610.0,166.0,61.0,1325.86,92.61
354,531.0,611.0,80.0,0.0,553.07,11.86
153,230.0,612.0,382.0,144.0,2181.53,179.39
64,96.0,615.0,519.0,99.0,3750.54,154.58
87,131.0,616.0,485.0,365.0,1362.98,394.65
281,422.0,620.0,198.0,86.0,1345.48,117.23
161,242.0,624.0,382.0,3.0,3963.15,67.93
375,563.0,625.0,62.0,0.0,191.93,13.54
68,102.0,626.0,524.0,272.0,2632.48,333.1
230,345.0,629.0,284.0,199.0,599.69,239.41
98,147.0,631.0,484.0,305.0,1657.14,369.86
95,143.0,632.0,489.0,278.0,2119.53,337.63
93,140.0,633.0,493.0,160.0,3176.28,249.89
368,552.0,633.0,81.0,28.0,426.76,38.82
206,309.0,635.0,326.0,152.0,2064.04,188.69
335,503.0,635.0,132.0,2.0,959.93,19.1
237,356.0,644.0,288.0,0.0,1560.03,47.89
110,165.0,645.0,480.0,147.0,3982.75,214.71
52,78.0,646.0,568.0,281.0,3399.94,359.19
406,609.0,646.0,37.0,0.0,241.08,5.24
76,114.0,649.0,535.0,336.0,1920.07,384.76
297,446.0,649.0,203.0,18.0,1773.61,36.36
315,473.0,649.0,176.0,17.0,1876.0,46.98
202,303.0,654.0,351.0,198.0,1214.61,245.72
218,327.0,657.0,330.0,20.0,3105.36,54.21
24,36.0,661.0,625.0,200.0,3561.6,240.01
386,579.0,662.0,83.0,0.0,826.78,12.82
223,335.0,672.0,337.0,56.0,2097.31,159.21
277,416.0,672.0,256.0,1.0,2789.11,38.68
361,542.0,673.0,131.0,0.0,1122.88,14.13
60,90.0,678.0,588.0,338.0,2617.9,386.37
75,113.0,680.0,567.0,349.0,1839.98,399.34
319,479.0,682.0,203.0,0.0,1711.63,26.38
41,62.0,685.0,623.0,352.0,2607.46,396.2
233,350.0,685.0,335.0,112.0,2267.46,181.76
125,188.0,688.0,500.0,182.0,3342.29,298.56
74,111.0,699.0,588.0,248.0,3654.07,326.11
300,450.0,701.0,251.0,29.0,2823.28,67.94
162,243.0,704.0,461.0,224.0,2311.45,289.57
345,518.0,705.0,187.0,52.0,1040.48,84.14
213,320.0,708.0,388.0,268.0,1242.6,292.64
271,407.0,711.0,304.0,43.0,2213.43,74.79
164,246.0,712.0,466.0,109.0,3485.05,194.15
234,351.0,726.0,375.0,137.0,1762.16,179.82
280,420.0,729.0,309.0,113.0,2066.31,152.27
288,432.0,732.0,300.0,4.0,3221.82,49.12
27,41.0,742.0,701.0,509.0,1826.24,568.97
269,404.0,745.0,341.0,167.0,1604.14,198.27
192,288.0,749.0,461.0,234.0,2499.32,277.76
289,434.0,749.0,315.0,23.0,2858.28,88.56
191,287.0,750.0,463.0,291.0,1398.62,324.27
101,152.0,751.0,599.0,239.0,3224.19,316.46
187,281.0,755.0,474.0,65.0,3556.27,150.25
330,495.0,757.0,262.0,22.0,2258.63,48.23
44,66.0,758.0,692.0,437.0,3111.92,509.2
282,423.0,759.0,336.0,206.0,1291.24,234.68
436,654.0,760.0,106.0,0.0,961.13,11.77
140,210.0,762.0,552.0,187.0,2885.99,302.13
366,549.0,763.0,214.0,53.0,1624.94,95.76
424,636.0,763.0,127.0,0.0,1102.39,14.63
408,612.0,768.0,156.0,0.0,1592.97,13.59
412,618.0,783.0,165.0,0.0,1583.39,14.57
36,54.0,784.0,730.0,354.0,3374.99,428.35
318,477.0,792.0,315.0,188.0,1000.0,230.84
339,509.0,797.0,288.0,119.0,2289.18,152.89
15,23.0,798.0,775.0,534.0,2734.05,593.27
242,363.0,802.0,439.0,127.0,2858.13,188.1
355,536.0,802.0,266.0,168.0,736.75,213.62
259,389.0,803.0,414.0,237.0,1261.42,276.78
174,261.0,809.0,548.0,280.0,2825.03,345.39
362,543.0,809.0,266.0,189.0,810.99,220.79
492,738.0,810.0,72.0,0.0,758.02,11.38
504,756.0,813.0,57.0,0.0,604.95,7.6
250,375.0,816.0,441.0,116.0,3103.95,158.75
429,644.0,818.0,174.0,2.0,1839.75,49.05
117,176.0,819.0,643.0,300.0,3849.3,394.7
29,44.0,821.0,777.0,637.0,1193.14,689.43
349,524.0,822.0,298.0,124.0,1603.67,156.59
384,576.0,833.0,257.0,19.0,2290.16,50.1
175,263.0,835.0,572.0,364.0,1724.18,417.58
465,698.0,835.0,137.0,0.0,1478.59,16.21
346,519.0,841.0,322.0,78.0,2786.48,136.85
419,629.0,841.0,212.0,28.0,1283.9,67.39
278,417.0,843.0,426.0,196.0,1978.1,257.73
541,812.0,844.0,32.0,0.0,95.04,7.3
536,804.0,849.0,45.0,0.0,429.74,9.75
263,395.0,852.0,457.0,41.0,3353.9,112.58
244,366.0,864.0,498.0,288.0,1920.58,348.47
559,839.0,867.0,28.0,0.0,229.97,4.76
540,810.0,870.0,60.0,0.0,803.79,9.2
136,204.0,871.0,667.0,455.0,2281.27,529.82
529,794.0,871.0,77.0,1.0,628.57,15.12
304,456.0,874.0,418.0,202.0,1297.62,262.98
83,125.0,875.0,750.0,608.0,1551.34,649.38
405,608.0,876.0,268.0,119.0,2090.49,157.69
524,786.0,885.0,99.0,0.0,783.18,20.3
26,39.0,888.0,849.0,280.0,4640.96,379.56
241,362.0,888.0,526.0,250.0,2153.07,337.76
287,431.0,888.0,457.0,231.0,2123.74,272.14
525,788.0,888.0,100.0,0.0,335.18,21.22
216,324.0,889.0,565.0,420.0,1525.36,455.12
422,633.0,891.0,258.0,69.0,1943.5,100.32
45,68.0,894.0,826.0,583.0,2330.2,656.2
456,684.0,909.0,225.0,92.0,1286.77,132.41
484,726.0,916.0,190.0,0.0,1496.49,24.28
395,593.0,922.0,329.0,131.0,2690.09,209.62
89,134.0,924.0,790.0,479.0,3148.91,559.95
371,557.0,925.0,368.0,201.0,2267.48,251.91
143,215.0,926.0,711.0,404.0,3035.77,540.35
21,32.0,927.0,895.0,565.0,4004.94,641.56
86,129.0,928.0,799.0,603.0,2328.21,642.78
520,780.0,930.0,150.0,2.0,1088.84,25.12
396,594.0,931.0,337.0,31.0,2811.05,70.02
431,647.0,931.0,284.0,170.0,784.94,201.0
63,95.0,937.0,842.0,500.0,4673.61,560.32
302,453.0,937.0,484.0,204.0,2958.95,264.58
9,14.0,938.0,924.0,534.0,4299.41,642.95
336,504.0,939.0,435.0,325.0,1339.66,352.43
357,536.0,939.0,403.0,161.0,2178.19,220.29
411,617.0,940.0,323.0,119.0,2080.9,179.88
517,776.0,941.0,165.0,1.0,1193.35,25.01
183,275.0,943.0,668.0,385.0,2694.25,470.39
217,326.0,947.0,621.0,386.0,3389.52,446.74
494,741.0,947.0,206.0,0.0,2092.24,32.21
303,455.0,949.0,494.0,279.0,2198.15,327.23
359,539.0,949.0,410.0,0.0,3164.69,39.48
13,20.0,950.0,930.0,545.0,4550.41,655.38
291,437.0,950.0,513.0,296.0,2073.98,331.36
397,596.0,950.0,354.0,246.0,1248.28,270.27
155,233.0,951.0,718.0,399.0,3313.48,492.08
348,522.0,954.0,432.0,41.0,4364.0,119.06
147,221.0,962.0,741.0,474.0,2532.34,537.84
130,195.0,963.0,768.0,539.0,2191.49,606.01
377,566.0,966.0,400.0,144.0,3015.04,216.5
171,257.0,967.0,710.0,509.0,1862.76,566.46
562,846.0,979.0,133.0,0.0,1314.25,14.95
507,761.0,980.0,219.0,0.0,1575.95,23.83
204,306.0,981.0,675.0,414.0,3047.08,490.9
311,467.0,983.0,516.0,297.0,2501.14,348.53
194,291.0,986.0,695.0,478.0,2192.89,544.68
629,944.0,986.0,42.0,0.0,267.57,7.94
132,198.0,989.0,791.0,522.0,2793.4,567.33
283,425.0,992.0,567.0,115.0,4462.82,176.56
610,915.0,992.0,77.0,2.0,545.13,14.76
80,120.0,995.0,875.0,619.0,2921.71,696.4
603,905.0,996.0,91.0,0.0,878.13,8.96
179,269.0,999.0,730.0,401.0,3130.18,480.8
49,74.0,1000.0,926.0,755.0,1969.01,782.71
235,353.0,1003.0,650.0,285.0,3706.86,399.44
100,150.0,1008.0,858.0,543.0,4524.91,618.75
127,191.0,1008.0,817.0,556.0,2654.26,594.29
212,318.0,1008.0,690.0,467.0,2150.07,521.96
152,228.0,1013.0,785.0,468.0,3466.89,549.0
574,861.0,1014.0,153.0,0.0,1219.24,17.34
124,186.0,1015.0,829.0,441.0,4001.26,572.17
209,314.0,1015.0,701.0,165.0,5259.88,240.77
388,582.0,1016.0,434.0,242.0,2203.4,307.08
240,360.0,1017.0,657.0,310.0,3041.33,380.84
523,785.0,1019.0,234.0,0.0,2442.86,26.89
539,809.0,1020.0,211.0,10.0,1813.96,48.57
195,293.0,1022.0,729.0,402.0,2245.72,460.33
369,554.0,1022.0,468.0,316.0,1569.03,369.69
8,12.0,1023.0,1011.0,584.0,4583.47,690.05
338,507.0,1023.0,516.0,196.0,3175.48,246.79
177,266.0,1024.0,758.0,469.0,2905.14,573.95
203,305.0,1024.0,719.0,455.0,3013.03,526.43
81,122.0,1028.0,906.0,560.0,3875.11,636.58
189,284.0,1029.0,745.0,377.0,4208.6,477.4
253,380.0,1029.0,649.0,423.0,2137.92,502.7
333,500.0,1029.0,529.0,0.0,4601.8,52.1
256,384.0,1030.0,646.0,255.0,4033.37,344.85
578,867.0,1030.0,163.0,19.0,1146.24,51.42
70,105.0,1031.0,926.0,514.0,4600.48,616.13
266,399.0,1034.0,635.0,283.0,3678.81,352.03
380,570.0,1039.0,469.0,0.0,3254.69,55.98
623,935.0,1042.0,107.0,0.0,1199.15,15.58
121,182.0,1043.0,861.0,423.0,4577.66,548.78
158,237.0,1044.0,807.0,477.0,2733.87,564.57
246,369.0,1044.0,675.0,405.0,2756.53,459.72
184,276.0,1047.0,771.0,347.0,4191.76,408.95
112,168.0,1056.0,888.0,606.0,2822.5,673.71
521,782.0,1056.0,274.0,6.0,2216.49,53.69
145,218.0,1060.0,842.0,532.0,3339.45,630.75
613,920.0,1061.0,141.0,0.0,1426.43,16.75
274,411.0,1065.0,654.0,376.0,2087.05,432.65
383,575.0,1065.0,490.0,112.0,3395.08,195.21
62,93.0,1070.0,977.0,672.0,3483.6,753.73
480,720.0,1074.0,354.0,162.0,2500.77,206.58
413,620.0,1075.0,455.0,227.0,2238.55,271.03
531,797.0,1075.0,278.0,21.0,2597.91,56.22
1,2.0,1079.0,1077.0,866.0,2037.27,911.44
683,1025.0,1079.0,54.0,0.0,367.9,7.02
238,357.0,1086.0,729.0,385.0,3119.91,509.06
449,674.0,1089.0,415.0,60.0,3070.17,183.71
447,671.0,1091.0,420.0,241.0,1956.52,320.66
265,398.0,1092.0,694.0,493.0,1873.84,564.37
469,704.0,1097.0,393.0,99.0,2430.77,137.09
439,659.0,1103.0,444.0,173.0,2298.28,219.81
403,605.0,1104.0,499.0,331.0,1755.87,369.49
160,240.0,1107.0,867.0,463.0,2989.35,531.77
225,338.0,1107.0,769.0,585.0,1389.46,632.54
272,408.0,1107.0,699.0,436.0,2599.62,525.44
502,753.0,1107.0,354.0,166.0,2757.38,212.86
73,110.0,1109.0,999.0,664.0,3095.32,748.98
387,581.0,1109.0,528.0,290.0,2744.04,342.45
251,377.0,1110.0,733.0,447.0,2563.23,548.53
636,954.0,1110.0,156.0,1.0,1330.31,26.78
285,428.0,1111.0,683.0,457.0,2026.79,540.18
19,29.0,1115.0,1086.0,833.0,2818.55,915.36
593,890.0,1117.0,227.0,11.0,1974.16,57.97
292,438.0,1119.0,681.0,381.0,2790.62,443.22
59,89.0,1120.0,1031.0,678.0,3479.86,777.18
392,588.0,1123.0,535.0,349.0,1871.43,396.93
616,924.0,1123.0,199.0,0.0,1865.17,30.11
344,516.0,1124.0,608.0,391.0,2465.76,447.27
254,381.0,1125.0,744.0,436.0,3022.81,507.45
478,717.0,1125.0,408.0,104.0,2331.39,168.95
144,216.0,1126.0,910.0,603.0,2586.85,650.86
454,681.0,1130.0,449.0,168.0,2366.04,224.89
464,696.0,1130.0,434.0,183.0,2893.47,243.88
258,387.0,1132.0,745.0,449.0,2806.4,543.39
273,410.0,1132.0,722.0,506.0,1882.51,562.45
708,1062.0,1134.0,72.0,0.0,1006.06,12.52
590,885.0,1138.0,253.0,66.0,2205.84,102.76
446,669.0,1142.0,473.0,0.0,4459.97,47.67
647,971.0,1142.0,171.0,99.0,880.35,114.21
489,734.0,1149.0,415.0,211.0,2305.0,249.57
32,48.0,1150.0,1102.0,629.0,4184.66,735.43
331,497.0,1155.0,658.0,360.0,2928.31,412.27
180,270.0,1156.0,886.0,563.0,3002.59,640.2
609,914.0,1156.0,242.0,0.0,2488.08,24.24
173,260.0,1157.0,897.0,615.0,3516.28,712.24
731,1097.0,1158.0,61.0,0.0,697.46,9.65
611,917.0,1162.0,245.0,126.0,1072.35,169.17
146,219.0,1166.0,947.0,639.0,3038.46,696.57
321,482.0,1168.0,686.0,382.0,2909.75,433.2
421,632.0,1169.0,537.0,331.0,2439.72,382.72
527,791.0,1170.0,379.0,36.0,3123.1,76.91
735,1103.0,1179.0,76.0,0.0,300.81,20.28
351,527.0,1183.0,656.0,432.0,1454.11,491.14
221,332.0,1184.0,852.0,635.0,1964.31,724.47
425,638.0,1184.0,546.0,209.0,2745.19,278.93
137,206.0,1186.0,980.0,511.0,4351.35,598.91
728,1092.0,1186.0,94.0,0.0,1120.46,14.17
580,870.0,1189.0,319.0,149.0,1511.11,198.48
43,65.0,1192.0,1127.0,738.0,4231.57,845.82
631,947.0,1192.0,245.0,166.0,823.8,190.87
426,639.0,1196.0,557.0,228.0,3249.83,328.8
582,873.0,1197.0,324.0,9.0,3151.51,48.67
537,806.0,1202.0,396.0,114.0,1814.71,158.3
382,573.0,1204.0,631.0,292.0,3656.91,344.97
417,626.0,1204.0,578.0,330.0,2881.19,432.81
637,956.0,1207.0,251.0,95.0,1288.41,136.53
222,333.0,1210.0,877.0,540.0,3017.73,613.4
353,530.0,1211.0,681.0,217.0,4411.75,358.96
82,123.0,1213.0,1090.0,690.0,4722.07,782.36
211,317.0,1213.0,896.0,525.0,4012.31,610.69
543,815.0,1213.0,398.0,1.0,2982.69,44.35
703,1055.0,1213.0,158.0,0.0,1402.39,18.83
276,414.0,1215.0,801.0,362.0,3512.52,465.38
659,989.0,1216.0,227.0,0.0,1588.9,25.35
704,1056.0,1216.0,160.0,8.0,1321.68,26.55
325,488.0,1218.0,730.0,339.0,3342.14,431.25
231,347.0,1221.0,874.0,479.0,4007.15,600.07
488,732.0,1222.0,490.0,220.0,2910.51,301.79
441,662.0,1225.0,563.0,289.0,2923.61,335.19
679,1019.0,1229.0,210.0,64.0,1469.76,85.1
753,1130.0,1229.0,99.0,8.0,842.75,34.08
553,830.0,1232.0,402.0,249.0,1227.71,288.19
717,1076.0,1233.0,157.0,48.0,960.44,76.89
418,627.0,1234.0,607.0,320.0,2810.51,389.46
573,860.0,1236.0,376.0,88.0,3222.42,179.17
444,666.0,1237.0,571.0,162.0,2926.16,262.81
103,155.0,1246.0,1091.0,757.0,2841.87,838.01
506,759.0,1247.0,488.0,238.0,2454.59,299.84
239,359.0,1250.0,891.0,527.0,4490.94,668.91
227,341.0,1253.0,912.0,679.0,2710.89,729.95
666,999.0,1253.0,254.0,9.0,2436.33,42.14
46,69.0,1257.0,1188.0,942.0,2100.76,1008.65
645,968.0,1258.0,290.0,0.0,1349.0,50.62
626,939.0,1264.0,325.0,36.0,2965.45,70.75
12,18.0,1272.0,1254.0,751.0,5116.07,875.81
275,413.0,1277.0,864.0,464.0,4321.2,566.44
512,768.0,1282.0,514.0,300.0,1783.55,375.37
295,443.0,1283.0,840.0,534.0,3523.82,609.17
38,59.0,1286.0,1227.0,880.0,2627.11,976.8
643,965.0,1288.0,323.0,104.0,2478.39,141.47
670,1005.0,1288.0,283.0,194.0,801.35,230.92
299,449.0,1293.0,844.0,721.0,1258.92,781.73
700,1050.0,1293.0,243.0,107.0,943.61,134.58
499,749.0,1295.0,546.0,189.0,3870.27,295.12
773,1160.0,1295.0,135.0,0.0,1273.82,20.4
774,1161.0,1295.0,134.0,0.0,969.96,14.22
516,774.0,1298.0,524.0,192.0,3356.73,244.99
172,258.0,1301.0,1043.0,734.0,3344.67,804.42
102,153.0,1302.0,1149.0,849.0,3295.98,950.36
719,1079.0,1302.0,223.0,105.0,1136.67,147.32
547,821.0,1306.0,485.0,328.0,1587.42,388.55
654,981.0,1306.0,325.0,88.0,3117.14,142.07
448,672.0,1308.0,636.0,98.0,4167.67,179.79
460,690.0,1308.0,618.0,335.0,2490.76,444.5
415,623.0,1316.0,693.0,346.0,4165.75,431.45
705,1058.0,1317.0,259.0,139.0,1286.69,167.89
648,972.0,1318.0,346.0,103.0,1928.18,166.13
481,722.0,1319.0,597.0,267.0,3298.1,320.1
316,474.0,1323.0,849.0,602.0,3002.95,668.26
409,614.0,1323.0,709.0,500.0,2200.97,558.15
756,1134.0,1324.0,190.0,4.0,1897.33,22.87
328,492.0,1325.0,833.0,513.0,4526.37,595.83
595,893.0,1327.0,434.0,354.0,623.72,399.52
534,801.0,1328.0,527.0,317.0,2022.6,360.8
78,117.0,1331.0,1214.0,874.0,4013.03,951.57
